Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,Sustainability Fact Book 2023,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,BIODIVERSITY AREAS BY ASSET,,,,,,,,,,,,,
,"Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value",,,,,,,,,,,,,
,,,,,,Relative biodiversity value,,Relative biodiversity vulnerability,,,,,,
,Biodiversity sensitivity rank 2023,Site name,Primary commodity,Product group,Country,Species range rarity rank,Natural/modified habitat rank,Threatened species range rarity rank,Critical habitat rank,Types of overlapping biodiversity features,Biodiversity feature name,,,
,30,Havre-Saint-Pierre & Lac Tio,Titanium,Minerals,Canada,50,22,39,10,Island Or Peninsula Inhabited By A Colony Of Birds,Rés. de parc national de l'Archipel-de-Mingan (Île à  Calculot) (207) Island Or Peninsula Inhabited By A Colony Of Birds,,,
,30,Havre-Saint-Pierre & Lac Tio,Titanium,Minerals,Canada,50,22,39,10,National Park,Mingan Archipelago National Park Reserve Of Canada,,,
,30,Havre-Saint-Pierre & Lac Tio,Titanium,Minerals,Canada,50,22,39,10,Water Fowl Gathering Area,Anse à  Nadeau Water Fowl Gathering Area,,,
,30,Havre-Saint-Pierre & Lac Tio,Titanium,Minerals,Canada,50,22,39,10,Water Fowl Gathering Area,Batture de l'Île à  Gazon Water Fowl Gathering Area,,,
,30,Havre-Saint-Pierre & Lac Tio,Titanium,Minerals,Canada,50,22,39,10,Water Fowl Gathering Area,Petite Romaine (anc. Île Moniac) Water Fowl Gathering Area,,,
,30,Havre-Saint-Pierre & Lac Tio,Titanium,Minerals,Canada,50,22,39,10,Water Fowl Gathering Area,Nord-Est de l'Île Moutange Water Fowl Gathering Area,,,
,30,Havre-Saint-Pierre & Lac Tio,Titanium,Minerals,Canada,50,22,39,10,Water Fowl Gathering Area,Batture Est de la Rivière Romaine Water Fowl Gathering Area,,,
,30,Havre-Saint-Pierre & Lac Tio,Titanium,Minerals,Canada,50,22,39,10,Water Fowl Gathering Area,Batture Pte du Cure Water Fowl Gathering Area,,,
,30,Havre-Saint-Pierre & Lac Tio,Titanium,Minerals,Canada,50,22,39,10,Water Fowl Gathering Area,Batture de la rivière Romaine Water Fowl Gathering Area,,,
,31,Dampier Port,Iron Ore,Iron Ore,Australia,34,49,28,5,"KBA - endemic, migratory birds/congregations",Dampier Saltworks,,,
,31,Dampier Port,Iron Ore,Iron Ore,Australia,34,49,28,5,Reserve,Unnamed WA38287,,,
,31,Dampier Port,Iron Ore,Iron Ore,Australia,34,49,28,5,Reserve,Unnamed WA36907,,,
,31,Dampier Port,Iron Ore,Iron Ore,Australia,34,49,28,5,Reserve,Unnamed WA36909,,,
,31,Dampier Port,Iron Ore,Iron Ore,Australia,34,49,28,5,Reserve,Unnamed WA36910,,,
,31,Dampier Port,Iron Ore,Iron Ore,Australia,34,49,28,5,Reserve,Unnamed WA40877,,,
,31,Dampier Port,Iron Ore,Iron Ore,Australia,34,49,28,5,National Park,Murujuga,,,
,31,Dampier Port,Iron Ore,Iron Ore,Australia,34,49,28,5,National Park,Murujuga,,,
,31,Dampier Port,Iron Ore,Iron Ore,Australia,34,49,28,5,Nature Reserve,Unnamed WA36915,,,
,32,Gove Operations,Aluminium,Aluminium,Australia,13,47,5,18,EBA,North-west Australia,,,
,32,Gove Operations,Aluminium,Aluminium,Australia,13,47,5,18,Indigenous Protected Area,Dhimurru,,,
,32,Gove Operations,Aluminium,Aluminium,Australia,13,47,5,18,Australian Marine Park,Wessel,,,
