Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83
147,Financial Year,FY23,,,,,"Scope 3, 41%",Paper,797.1428,,,,,,t,17.64300000000001,,,,,,,,,,,,,,,,,,,FY20,Q1,963,,FY20,963,129601.04000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Quarter,Q4,,,,,"Scope 3, 41%",Working from home,2863.2689,,,,,Taxis - Cost,$,101095.13,,,,,,,,,,,,,,,,,,,,Q2,957,,,957,135779.86000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Month,Jun,,,,,"Scope 3, 41%",Business travel,4300.985699999999,Check,,,,Vehicle Number - Cars,Cars,3016,,,,,,,,,,,,,,,,,,,,Q3,972,,,972,126660.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,26107.126884699996,True,,,,Waste General [t],t,226.59690000000006,,,,,,,,,,,,,,,,,,,,Q4,977,,,977,53403.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Sum of Total Data,,,,,,,,,,,,,Working From Home [kg CO2e],kg CO2e,299815.9865,,,,,,,,,,,,,,,,,,,FY21,Q1,941,,FY21,941,99523.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Data Type,Units,Total,,,,,,,,,,,Grand Total,,8777129.2083,35010.790700000005,,,,,,,,,,,,,,,,,,,Q2,847,,,847,108132.45000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Vehicle Number - Total,Total Vehicles,982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q3,849,,,849,104979.73000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Grand Total,,982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q4,832,,,832,112436.79999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FY22,Q1,790,,FY22,790,76856.48000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,Country,New Zealand,,,,,,,,,,,,,,,,,,,,,Q2,790,,,790,76411.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,Financial Year,FY23,,,,,,,,,,,,,,,,,,,,,Q3,779,,,779,83289.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,Quarter,Q4,,,,,,,,,,,,,,,,,,,,,Q4,785,,,785,90226.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,Month,Jun,,,,,,,,,,,,,,,,,,,,FY23,Q1,748,,FY23,748,90990.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q2,746,,,746,93416.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,Sum of Total Data,,,,,,,,,,,,,,,,,,,,,,Q3,755,,,755,85887.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,Data Type,Units,Total,,,,,,,,,,,,,,,,,,,,Q4,767,,,767,86134.76999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,Vehicle Number - Cars,Cars,263,,,,,,,,,,,,,,,,,,Grand Total,,,17393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
