Unnamed: 0,Greenhouse gas emissions by activity,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Annualisation factor,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
,Reporting period: FY 2022,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,tCO2e,tCO2e,tCO2e,,tCO2e,tCO2e,tCO2e,tCO2e,,,,,,,,,,,,,,,,,,,,,,,
,tCO2e GHG EMISSIONS,Mapped to Support,% Movement,FY 2022,FY 2021,QX 202X,% Movement,1Q 2023,Annualised 2023,FY 2020,FY 2019,,Rounding,,,,,,Data Type,Units,Sum of Total Reporting Amount,Sum of Total CO2e(t),,,,,,,,,,,,
,Row Labels,Sum of Scope 3 CO2e(t) T&D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Australia Pacific,162.3034105625181,,,,,,Source: Capital goods 2022,,,,,,,,,,,,,,,,,,,,,,,,,,
,Corporate,162.07868248298098,,,,,,Region,Emissions tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,
,Equator Re,4.05903753379,,,,,,Australia Pacific,718.319100277224,,,,,,,,,,,,,,,,,,,,,,,,,
,International,95.33547622550546,,,,,,Equator Re,4.00935261154079,,,,,,,,,,,,,,,,,,,,,,,,,
,North America,1593.5160700323568,,,,,,Corporate and Other,405.641892480671,,,,,,,,,,,,,,,,,,,,,,,,,
,Grand Total,2017.2926768371512,,,,,,International,555.487088345039,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,North America,477.391872259375,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2160.84930597385,,,,,,,,,,,,,,,,,,,,,,,,,
,Emissions profile by region (tCO2-e) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021-12-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Check,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total CO2e(t),Employees commuting,Total CO2-e(t),,,,,,,,,,,WFH,,,,,,,,,,,,,,,,,,,
Australia Pacific,Australia Pacific,6948.852099999999,665.8901982225888,7614.742298222588,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,
Corporate and Other,Corporate,1289.8182000000004,36.405674496000024,1429.9317744960003,,,,,WFH,,,,,,52,,,,,,,,,,,,,,,,,,,
Corporate and Other,Equator Re,103.7079,,,,,,,,2020,,,,,48,,,,,,,,,,,,,,,,,,,
International,International,1551.4721,344.4351949295999,1895.9072949295999,,,,,Pademic commenced,2020-03-23 00:00:00,,,,Weeks per year,36,,,,,,,,,,,,,,,,,,,
North America,North America,10615.321100000008,91.04021179200008,10706.361311792009,,,,,Reporting date,2020-09-30 00:00:00,,,,No. of working weeks per year,180,,,,,,,,,,,,,,,,,,,
,,20509.171400000007,1137.771279440189,21646.942679440195,,,,,Number of days,191,,,,no. of working weeks for half year,,,,,,,,,,,,,,,,,,,,
,,,RECs,-6616.018499999997,,,,,No. of working days,136.42857142857142,,,,no. of working days,,,,,,,,,,,,,,,,,,,,
,,,,15030.924179440197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Source: WFH emissions workbook,,,,Source: Employees commuting,,,,,,,,,,,,,,,,,,,,,
,Row Labels,Sum of Total CO2e(t),,,,,,,,WFH emissions,WFM emissions after 10% haircut,,Region,Emissions tCO2e,,,,,,,,,,,,,,,,,,,,
,Australia Pacific,6948.852099999999,,,,,,,Australia Pacific,1030.0284531927507,927.0256078734757,,Australia Pacific,665.8901982225888,,,,,,,,,,,,,,,,,,,,
,Corporate,1289.8182000000004,,,,,,,Corporate and Other,93.72064123579752,84.34857711221777,,Corporate and Other,36.405674496000024,,,,,,,,,,,,,,,,,,,,
,Equator Re,103.7079,,,,,,,International,1285.4512027646065,1156.9060824881458,,International,344.4351949295999,,,,,,,,,,,,,,,,,,,,
,International,1551.4721,,,,,,,North America,1696.571140308184,1526.9140262773658,,North America,91.04021179200008,,,,,,,,,,,,,,,,,,,,
,North America,10615.321100000008,,,,,,,,0,0,,,1137.771279440189,,,,,,,,,,,,,,,,,,,,
,Grand Total,20509.171400000007,,,,,,,,4105.771437501338,3695.194293751205,,,,,,,,,,,,,,,,,,,,,,,
