Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
44,,FY23 WASTE,Unit,M4M8 Link,West Gate Tunnel,M7-M12 Integration4,FredEX6,495 Extension6,Total,,,,,,,,,,,,,,,,,,,,
45,,Total waste,tonnes,2766,2327451.36,0,,,2330217.36,,,,,,,,,,,,,,,,,,,,
46,,Landfill - general and inert,tonnes,569,703.54,0,,,1272.54,,,,,,,,,,,,,,,,,,,,
47,,Landfill - spoil,tonnes,-,,0,,,0,,,,,,,,,,,,,,,,,,,,
48,,Landfill - prescribed and liquid,tonnes,-,66477.06999999999,0,,,66477.06999999999,,,,,,,,,,,,,,,,,,,,
49,,Recycled - general and inert,tonnes,2197,27604.119999999995,0,,,29801.119999999995,,,,,,,,,,,,,,,,,,,,
50,,Recycled - spoil,tonnes,-,2232666.63,0,,,2232666.63,,,,,,,,,,,,,,,,,,,,
51,,Recycled - prescribed and liquid,tonnes,-,-,0,,,0,,,,,,,,,,,,,,,,,,,,
52,,Major project general and inert recycled (waste diverted from landfill)5,%,,,,,,0.9590476306942922,,,,,,,,,,,,,,,,,,,,
53,,Major project spoil recycled,%,,,,,,1,,,,,,,,,,,,,,,,,,,,
54,,"Notes:\n4 M7-M12 Integration data not yet available, as project construction had not commenced in FY23.\n5 General recycled % excludes spoil and prescribed and liquid wastes due to the nature of these waste streams, noting prescribed waste has specific disposal requirements based on local regulations.\n6 North American market Major Project waste data is not available at this time.",,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,Table 11 E-tag product disposal,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,E-TAG DISPOSAL,,FY19,FY20,FY21,FY22,FY23,,,,,,,,,,,,,,,,,,,,,
59,,e-TAGs issued,e-TAGs,715523,678218,849654,829154,1046844,,,,,,,,,,,,,,,,,,,,,
60,,e-TAGs recycled,e-TAGs,160799,139865,187985,172270,169042.9090909091,,,,,,,,,,,,,,,,,,,,,
61,,"Notes:\nCustomer tags that are returned by customers and found to not be working are returned to our supplier, where they are dismantled into their separate components for appropriate recycling or disposal.\nFY23 figure based on 11 months of data and one month extrapolated as at the time of report preparation.",,,,,,,,,,,,,,,,,,,,,,,,,,,
