Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
56,,204.0,Procurement Practices,204-01,Proportion of spending on local suppliers,"While most of our procurement spend is with vendors based in Australia, we acknowledge that our direct suppliers often have offshore manufacturing operations and their tiers of domestic and international suppliers. It results in a deep, complex supply chain that comprises many tiers.",,,,TPG Telecom,2023.0,,,,,5,,,,,,,,,,,,,,,,,,,,,
57,,205.0,Anti-corruption,205-01,Operations assessed for risks related to corruption,"The Company has an Anti-Bribery & Anti-Corruption Policy that prohibits directors, officers, employees, contractors and any other associated persons from engaging in activity that constitutes bribery or corruption and provides guidelines for what constitutes bribery or corruption. Material incidents reported under the Anti-Bribery & Anti-Corruption Policy are immediately escalated to the Board's attention as appropriate and by the Company's internal reporting processes.",,,,TPG Telecom,2023.0,,,,,,,16,,,,,,,,,,,,,,,,,,,
58,,205.0,Anti-corruption,205-02,Communication and training about anti-corruption policies and procedures,,,,NO DISCLOSURE,TPG Telecom,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,205.0,Anti-corruption,205-03,Confirmed incidents of corruption and actions taken,,,,NO DISCLOSURE,TPG Telecom,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,206.0,Anti-competitive Behavior,206-01,"Legal actions for anti-competitive behavior, anti-trust, and monopoly practices",,,,NO DISCLOSURE,TPG Telecom,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,207.0,Tax,207-01,Approach to tax,,,,NO DISCLOSURE,TPG Telecom,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,207.0,Tax,207-02,"Tax governance, control, and risk management","For tax purposes, from 13 July 2020, the wholly owned Australian subsidiaries acquired as part of the merger with TPG Corporation entered the tax consolidated group, of which the Company is the head entity, by Australian taxation law. The tax sharing agreement between the entities within the tax consolidated group determines the allocation of the income tax liabilities between entities should the head entity default in its tax payment obligations or if an entity should leave the group. The effect of the tax sharing agreement is that the Company's liability for tax payable by the tax consolidated group is limited to the amount payable to the head entity under the tax funding arrangement.",,,,TPG Telecom,2023.0,,,,,,80,,,,,,,,,,,,,,,,,,,,
63,,207.0,Tax,207-03,Stakeholder engagement and management of concerns related to tax,,,,NO DISCLOSURE,TPG Telecom,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,207.0,Tax,207-04,Country-by-country reporting,,,,NO DISCLOSURE,TPG Telecom,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,301.0,Materials,301-01,Materials used by weight or volume,,,,NO DISCLOSURE,TPG Telecom,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,301.0,Materials,301-02,Recycled input materials used,"Our EcoSIMs are made from 100 percent recycled plastic and are certified carbon neutral. They feature a sleeve made from 100 percent recycled cardboard. eSIMs, now available across all of our major brands, do not have a physical component, meaning less plastic waste from manufacturing and packaging and reduced energy and emissions related to transport and manufacturing requirements.",,,,TPG Telecom,2023.0,,,,,20,,,,,,,,,,,,,,,,,,,,,
67,,301.0,Materials,301-03,Reclaimed products and thei packaging materials,,,,NO DISCLOSURE,TPG Telecom,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
