Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
4,,CONTENTS,,,,,AIR QUALITY,,,,,,,,,,,,,,
7,,,,,,,"MinRes reports our emissions of listed substances annually to the National Pollutant Inventory (NPI) for facilities that meet the relevant reporting thresholds. These are estimated using the approaches defined in the NPI Emissions Estimation Technique (EET) manuals, with most calculations undertaken using emission factors.",,,,,,,,,,,,,,
10,,,,,,,Our air quality performance metrics are detailed below.,,,,,,,,,,,,,,
13,,,,,,,"GRI 305-7 & GRI G4 - MM3 EN21 | Nitrogen oxides (NOX), sulfur oxides (SOX), and other significant air emissions",,,,,,,,,,,,,,
14,,,,,,,SASB | EM-MM-120a.1. Air quality,,,,,,,,,,,,,,
15,,,,,,,Table 1: Air quality emissions,,,,,,,,,,,,,,
16,,,,,,,Operation,Air Total Emissions1 (Tonnes),FY17,FY18,FY19,FY20,FY21,FY22,FY232,Trend from FY22,,,,,
21,,,,,,,,Oxides of nitrogen,1581.3546754289862,1679.834165475017,1657.3584295997211,2234.069052498331,2715.9941468811976,2964.0959215066277,3001.1215,0.012491356377749282,,,,,
22,,,,,,,,Particulate matter <10um,5485.822297222429,9119.428223368777,12381.548311601959,16972.062363893212,17920.48360994549,19240.49545727886,19433.8466,0.010049176911813618,,,,,
23,,,,,,,,Particulate matter <2.5um,91.6795975808228,93.68299362951961,84.40619087327495,120.3090837768357,154.70583406371196,170.72865533787183,178.4187,0.04504249533805314,,,,,
24,,,,,,,,Sulphur dioxide5,0.7678316939096879,1.0615141372656376,1.0383779594794444,1.3058988712772166,1.7720771324740379,1.8443419207471237,1.9031,0.03185856081884972,,,,,
25,,,,,,,,Total volatile organic compounds,119.79992474835629,129.9485118402651,121.64454525378778,166.28081454594272,188.28891036086804,195.65121506991494,208.3767,0.06504168617372334,,,,,
27,,,,,,,Yilgarn Hub (Iron Ore),,FY17,FY18,FY19,FY20,FY21,FY22,FY23,Trend from FY22,,,,,
28,,,,,,,,Carbon monoxide,300.0834106846,232.6981323555831,416.660642086108,900.9289608713191,1034.6627357998552,824.7257325559563,567.278,-0.31216163433883015,,,,,
29,,,,,,,,Lead and compounds,0.02117900552919866,0.031877795234309794,0.2822324974815459,0.314663068208416,0.26160633905584235,0.3506421215055034,0.353,0.006724458785421714,,,,,
30,,,,,,,,Mercury and compounds,0.0015399723927880268,0.002257766305766456,0.002390804604077625,0.0050561567549969495,0.0038068383764464837,0.0037243884557829577,0.003,-0.19449863095192993,,,,,
31,,,,,,,,Oxides of nitrogen,649.689942958,276.25471661798304,644.7439354275999,971.1579953231541,1277.2885673035473,1317.133617782217,1078.13,-0.18145738181419285,,,,,
32,,,,,,,,Particulate matter <10um,2165.021227871077,3047.1898972588774,6859.322632933348,10459.0633910602,10420.8647197095,11636.761972810786,10685.126,-0.08177841697151461,,,,,
33,,,,,,,,Particulate matter <2.5um,38.53565995535,14.487311332943209,35.427366300654,54.957839599726505,75.90503063779154,74.63681352358492,65.902,-0.11703090085463998,,,,,
34,,,,,,,,Sulphur dioxide,0.2872135757954448,0.14813531414328743,0.37190961369576836,0.5945510011162259,0.9107118037895459,0.8827363413697364,0.776,-0.12091531340390303,,,,,
35,,,,,,,,Total volatile organic compounds,38.80666207192,14.10102353331909,37.884629674706,59.1807452729011,82.18852999639925,77.85397879065466,71.133,-0.08632800654578021,,,,,
37,,,,,,,Pilbara (Iron Ore),,FY17,FY18,FY19,FY20,FY21,FY22,FY23,Movement,,,,,
38,,,,,,,Iron Valley Operations,Carbon monoxide,161.2235398326,179.36717587708,150.790629908,193.953147340145,316.7328597280347,228.965646918536,162.671,-0.2895397096059702,,,,,
39,,,,,,,,Lead and compounds,0.0208353419269214,0.0303862167156661,0.030128509757922,0.030579570169674,0.03942083744461644,0.00332716163272578,0.003,-0.09833054983197573,,,,,
40,,,,,,,,Mercury and compounds,0.000153730330959016,0.000226770668533465,0.00022929189221521502,0.000227336172939485,0.0003331113011149368,0.000271683294419294,0,-1,,,,,
41,,,,,,,,Oxides of nitrogen,414.827067385,490.076952906616,314.936066514,525.8894504412809,742.745974950867,642.199246474214,494.392,-0.23015792573052923,,,,,
42,,,,,,,,Particulate matter <10um,1323.37047213182,1791.85071562724,1689.25858431777,1831.0350113888899,2639.988202703117,2262.3091770028595,1644.383,-0.2731395793662019,,,,,
43,,,,,,,,Particulate matter <2.5um,27.54652285735,32.2426170504808,19.7404831265,34.7176181371671,47.10729010455369,41.5340151568176,32.302,-0.2222760097226529,,,,,
44,,,,,,,,Sulphur dioxide,0.198922248991494,0.222291103642054,0.23202076356360102,0.25218987062501,0.41522106488147487,0.336600040211963,0.276,-0.1800357485810223,,,,,
45,,,,,,,,Total volatile organic compounds,31.3009603867901,36.3413401206342,21.765302335157298,38.993672676261,51.47415727511174,44.4885457304043,34.827,-0.21716928642604336,,,,,
47,,,,,,,Wonmunna Iron Ore Project6,Carbon monoxide,-,-,-,-,115.032040602198,175.301055824221,169.198,-0.03481471229894187,,,,,
48,,,,,,,,Lead and compounds,-,-,-,-,0.0920679590366581,0.244051569679404,0.2655,0.08788482839414447,,,,,
