Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
24,,,,,,,"Global Warming Potential (GWP) values are defined in the NGER Regulations, 2008 based on the 100-year GWP timeframe referenced in the Intergovernmental Panel on Climate ChangeÃ¢ÂÂs (IPCC) 2007 Fourth Assessment Report. No biogenic CO2 emissions have been included in our scope 1 GHG emissions, while scope 2 GHG emissions are calculated using a location-based approach.",,,,,,,,,,,,,,,
26,,,,,,,Table 2: Greenhouse gases associated with scope 1 emissions,,,,,,,,,,,,,,,
27,,,,,,,,FY18,FY19,FY20,FY21,FY22,FY23,Trend from FY22,,,,,,,,
28,,,,,,,Carbon Dioxide (CO2),206097,194218,221975,295055,333619,371813,0.11448388730857655,,,,,,,,
29,,,,,,,Methane (CH4),8879,287,306,411,2811,507,-0.8196371398078975,,,,,,,,
30,,,,,,,Nitrous Oxide (N2O),741,513,681,867,1049,1130,0.07721639656816015,,,,,,,,
31,,,,,,,Hydrofluorocarbons (HFCs),0,0,0,0,0,0,-,,,,,,,,
32,,,,,,,Perfluorocarbons (PFCs),0,0,0,0,0,0,-,,,,,,,,
33,,,,,,,Sulfur Hexafluoride (SF6),8.93,16,16,10,10,11.3,0.13000000000000006,,,,,,,,
34,,,,,,,Nitrogen Trifluoride (NF3),0,0,0,0,0,0,-,,,,,,,,
37,,,,,,,Table 3: Facility level greenhouse gas emissions,,,,,,,,,,,,,,,
38,,,,,,,Facility,Scope 1\n (tCO2e),,,Scope 2 \n (tCO2e),,,Location,,,,,,,,
39,,,,,,,,FY22,FY23,Trend from FY22,FY22,FY23,Trend from FY22,Latitude,Longitude,,,,,,,
40,,,,,,,Barrington Street (Carbonart),5,17.5407804174882,2.50815608349764,245,269.0888265,0.09832174081632646,-32.1,115.8,,,,,,,
41,,,,,,,Bungaroo South Exploration,594,61.22883312,-0.8969211563636363,0,0,-,-21.9,116.3,,,,,,,
42,,,,,,,Carina Rail Transport,5833,6276.70306160516,0.07606772871681121,0,0,-,-30.8,120.3,,,,,,,
43,,,,,,,Corporate Head Office (Applecross),2435,0,-1,681,0,-1,-32,115.8,,,,,,,
44,,,,,,,Corporate Head Office (Osborne Park),2,4583.9829356802,2290.9914678401,1186,2191.84763358,0.8481008714839798,-31.9,115.8,,,,,,,
45,,,,,,,Iron Valley Operations,55342,46103.143509376,-0.16694113856788695,0,0,-,-22.7,119.3,,,,,,,
46,,,,,,,Jackson 4 Operations,2294,43.1696448861372,-0.9811814974341163,0,0,-,-30.813653,120.305019,,,,,,,
47,,,,,,,Ken's Bore,236,0,-1,0,0,-,-22.1,116.2,,,,,,,
48,,,,,,,Koolyanobbing Mine Operations,131693,99550.6542045242,-0.244070267937368,0,0,-,-30.8,119.5,,,,,,,
49,,,,,,,Kumina Project,269,11.25313137474,-0.9581667978634201,0,0,-,-21.888,117.169,,,,,,,
50,,,,,,,Kwinana (Crushing),0,0,-,467,423.28745298,-0.09360288441113487,-32.2,115.8,,,,,,,
51,,,,,,,Kwinana Workshop,313,385.772302089587,0.23249936769836108,259,176.7223134,-0.3176744656370657,-32.2,115.8,,,,,,,
52,,,,,,,Lockyer Deep,10925,1762.68098916,-0.8386562023652173,0,0,-,-29.2,115.3,,,,,,,
53,,,,,,,Mango Yard,11,0,-1,11,0,-1,-20.4,118.5,,,,,,,
54,,,,,,,Marillana Project,0,295.45973964,-,0,0,-,-22.96,119.75,,,,,,,
55,,,,,,,Mining Wear Parts,0,1.60325363058824,-,0,22.9472938472727,-,-32.16,115.77,,,,,,,
56,,,,,,,Mining Wear Parts - QLD,0,0.425489035294118,-,0,41.9256307636364,-,-27.75,153.23,,,,,,,
57,,,,,,,MN/Boodarie Yard,0,358.69105584,-,0,0,-,-20.4243306484332,118.537305742565,,,,,,,
58,,,,,,,Mt Marion Mine Operations,65916,102697.404432169,0.558004193703638,0,0,-,-31.1,121.5,,,,,,,
