Unnamed: 0,H,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
12,,Total,270084.7974662912,314004,355832.60976115253,375623.21756415966,416118.7945331923,0,0,0,,Total,313788,346474.24899999995,,,,,,,,,,,,,,,,,
14,,1. Corporate travel relates to direct procurement of fuel related to rental cars or operational fleet vehicles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,2. Includes energy consumed by Halcyon Constructions Queensland only. All other contractors fall under Scope 3 emissions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,"3. As of 29 June 2022, Stockland divested its Retirement Living portfolio, with the exception of Affinity Village, WA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,"4. In FY23, a system error was identified where solar energy had been incorrectly recorded historically. In instances where solar generation was greater than StocklandÃ¢ÂÂs common area consumption, the system was inaccurately attributing excess solar energy as negative consumption and not offsetting the tenant consumption. This resulted in reduced scope 2 emissions for certain periods. Where required, Stockland has recalculated and restated its energy consumption and emissions from FY19-FY22. For comparison to prior year statements please see the table to the right.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,Electricity consumption,,,,,,,,,,Electricity consumption prior to restatement,,,,,,,,,,,,,,,,,,,
21,,,FY23,FY22,FY21,FY20,FY19,FY18,FY17,FY16,,,FY22,FY21,FY20,FY19,,,,,,,,,,,,,,,
22,,Electricity consumption (kWh) - by portfolio area,,,,,,,,,,Electricity consumption (kWh) - by portfolio area,,,,,,,,,,,,,,,,,,,
23,,Corporate tenancies,1200489,1012363,1216183.52,1384698,1669975,1665878,1648037,1556157,,Corporate tenancies,1012363,1216183.52,1384698,1669975,,,,,,,,,,,,,,,
24,,Workplace (base buildings),13281271,11891091,13742179,15311742.05,19246269,21644622,22255609,24120329,,Workplace (base buildings),11891091,13742179,15311742.05,19246269,,,,,,,,,,,,,,,
25,,Logistics,335934,"335,360 5","496,736 5","1,513,228 5","2,224,819 5",5189496,5129175,1577286,,Logistics,110903,295523.16,1499476,2186021,,,,,,,,,,,,,,,
26,,Town Centres,32507404,"36,049,499 5","36,719,320 5","39,317,479 5","52,130,303 5",60791065,64878522,69088256,,Town Centres,34776203,33676625,38522642,52039389,,,,,,,,,,,,,,,
27,,Residential sites2,989975.45,1022115,1471260.45,1593537.68,1828237,1695059,1729655,1824740,,Residential sites2,1022115,1471260.45,1593537.68,1828237,,,,,,,,,,,,,,,
28,,Residential (contractors)3,,,119561,96426.58,42228,102385,180211,331110,,Residential (contractors)3,,119561,96426.58,42228,,,,,,,,,,,,,,,
29,,Retirement Living4,139566,6748160,6572464,6924014,7020219,7887931,8876288,7859963,,Retirement Living,6748160,6572464,6924014,7020219,,,,,,,,,,,,,,,
30,,Retirement Living (contractors)1,,,,,,,7438,6962,,Retirement Living (contractors)1,,,,,,,,,,,,,,,,,,,
31,,Land Lease Communities,2118208,1216548,,,,,,,,Land Lease Communities,1216548,,,,,,,,,,,,,,,,,,
32,,Land Lease Communities (contractors),55049,60805,,,,,,,,Land Lease Communities (contractors),60805,,,,,,,,,,,,,,,,,,
33,,Total,50627896.45,58335941,60337703.970000006,66141125.309999995,84162050,98976436,104704935,106364803,,Total,56838188,57093796.13,65332536.309999995,84032338,,,,,,,,,,,,,,,
34,,Year on year,-0.1321319998935133,-0.03317598844986355,-0.08774300879822737,-0.21412174121233982,-0.1496758885114837,-0.054710878718371776,-0.015605425415021922,,,Year on year,-0.004476986070745663,-0.12610470441416102,-0.22253101764227964,-0.15098642266731044,,,,,,,,,,,,,,,
35,,Electricity consumption (kWh) - by source,,,,,,,,,,Electricity consumption (kWh) - by source,,,,,,,,,,,,,,,,,,,
36,,Grid Purchased Electricity,50627896.45,"58,335,942 5","60,337,704 5","66,110,698 5","84,162,049 5",98976436,104704935,106364803,,Grid Purchased Electricity,56838188,57093796.13,65332536.309999995,84032338,,,,,,,,,,,,,,,
37,,GreenPower,93777.83,85442.83333333327,86463,30427,,,,,,GreenPower,93777.83,86463,30427,,,,,,,,,,,,,,,,
38,,Renewables (Grid),9599049.16692,"10,873,820 5","11,186,610 5","12,561,033 5","15,990,789 5",15836229.76,14658690.900000002,13827424.39,,Renewables (Grid),10594638.2432,10569159.562302,12407400.7689,15966144.22,,,,,,,,,,,,,,,
39,,"Renewables (Self-generated, consumed onsite and produce LGCs)",16518762,"17,265,793 5","22,031,696 5","22,234,303 5","12,427,441 5",3274463,2387168,1940689,,"Renewables (Self-generated, consumed onsite and produce LGCs)",18755149.77,22095888,22306296,12958224,,,,,,,,,,,,,,,
40,,"Renewables (Self-generated, consumed onsite and no LGCs )",974548.6414156926,686260.96658,0,0,0,0,0,0,,"Renewables (Self-generated, consumed onsite and no LGCs )",686260.96658,0,0,0,,,,,,,,,,,,,,,
41,,Grid (Brown),41028847.283080004,47462122,49151094,53549665,68171260,83140206.24,90046244.1,92537378.61,,Grid (Brown),46243549.756799996,46438173.567698,52894708.541099995,68066193.78,,,,,,,,,,,,,,,
42,,,,,,,,98976436,104704935,106364803,,,,,,,,,,,,,,,,,,,,,
43,,1. No development works in our Retirement Living business were considered to be within our operational control boundary from FY18.,,,,,,,,,,1. No development works in our Retirement Living business were considered to be within our operational control boundary from FY18.,,,,,,,,,,,,,,,,,,,
44,,2. Totals equal grid electricity (GJ) / (electricity + on-site generators consuming diesel) . Efficiency of generators estimated at 30%.,,,,,,,,,,2. Totals equal grid electricity (GJ) / (electricity + on-site generators consuming diesel) . Efficiency of generators estimated at 30%.,,,,,,,,,,,,,,,,,,,
45,,3. The electricity consumed by our Residential contractors have been removed from our reporting boundary in FY22 due to advice obtained third-party advice regarding our obligations under the National Greenhouse and Energy Reporting. The emissions associated with these activities have been re-categorised from Scope 1 emissions to Scope 3 emissions.,,,,,,,,,,3. The electricity consumed by our Residential contractors have been removed from our reporting boundary in FY22 due to advice obtained third-party advice regarding our obligations under the National Greenhouse and Energy Reporting. The emissions associated with these activities have been re-categorised from Scope 1 emissions to Scope 3 emissions.,,,,,,,,,,,,,,,,,,,
46,,"4. As of 29 June 2022, Stockland divested its Retirement Living portfolio, with the exception of Affinity Village, WA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,"5. In FY23, a system error was identified where solar energy had been incorrectly recorded historically. In instances where solar generation was greater than StocklandÃ¢ÂÂs common area consumption, the system was inaccurately attributing excess solar energy as negative consumption and not offsetting the tenant consumption. This resulted in reduced scope 2 emissions for certain periods. Where required, Stockland has recalculated and restated its energy consumption and emissions from FY19-FY22. For comparison to prior year statements please see the table to the right.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,Purchased electricity intensity (kWh/m2),,,,,,,,,,Purchased electricity intensity (kWh/m2) prior to restatement,,,,,,,,,,,,,,,,,,,
51,,,FY23,FY22,FY21,FY20,FY19,FY18,FY17,FY16,,,FY22,FY21,FY20,FY19,,,,,,,,,,,,,,,
52,,Workplace (base buildings),,,,,,,,,,Workplace (base buildings),,,,,,,,,,,,,,,,,,,
53,,Floor area (NLA) of buildings in intensity metric (m2)1,255421,254096,259585,265681,289996,310658,313700,320097,,Floor area (NLA) of buildings in intensity metric (m2)1,254096,259585,265681,289996,,,,,,,,,,,,,,,
54,,% of portfolio covered in intensity metric,1,1,1,1,1,1,1,1,,% of portfolio covered in intensity metric,1,1,1,1,,,,,,,,,,,,,,,
55,,Total,52,46.47,56.47,62.62,70.91,69.68,70.96,75.77,,Total,46.47,56.47,62.62,70.91,,,,,,,,,,,,,,,
56,,Like-for-like percentage change,0.11900150634818164,-0.17708517797060386,-0.09821143404663045,-0.11690875758003103,0.01765212399540743,-0.018038331454340292,-0.06348158901940085,,,Like-for-like percentage change,-0.17708517797060386,-0.09821143404663045,-0.11690875758003103,0.01765212399540743,,,,,,,,,,,,,,,
57,,Town Centres,,,,,,,,,,Town Centres,,,,,,,,,,,,,,,,,,,
58,,Floor area (GLA) of buildings in intensity metric (m2),789615.4384,858751,933838,994532,1057562,1056145,1050411,1047054,,Floor area (GLA) of buildings in intensity metric (m2),858751,933838,994532,1057562,,,,,,,,,,,,,,,
59,,% of portfolio covered in intensity metric,1,1,1,1,1,1,1,1,,% of portfolio covered in intensity metric,1,1,1,1,,,,,,,,,,,,,,,
60,,Total,41.2,42.02 3,39.2 3,39.55 3,49.3 3,57.32,61.79,65.98,,Total,40.54,36.1,38.75,49.15,,,,,,,,,,,,,,,
61,,Like-for-like percentage change,-0.019514516896715853,0.07193877551020408,-0.008849557522123751,-0.1977687626774848,-0.13991625959525478,-0.07234180288072502,-0.06350409214913617,,,Like-for-like percentage change,0.12299168975069245,-0.06838709677419351,-0.21159715157680567,-0.14253314724354504,,,,,,,,,,,,,,,
62,,Commercial Property2,,,,,,,,,,Commercial Property2,,,,,,,,,,,,,,,,,,,
63,,Floor area of buildings in intensity metric (m2),1045036.4384,1112847,1195061,1260011,1347613,1366791,1364156,1365954,,Floor area of buildings in intensity metric (m2),1112847,1195061,1260011,1347613,,,,,,,,,,,,,,,
64,,% of portfolio covered in intensity metric,1,1,1,1,1,1,1,1,,% of portfolio covered in intensity metric,1,1,1,1,,,,,,,,,,,,,,,
65,,Total,43.83966566010221,41.97 3,40.48 3,43.78 3,53.83 3,60.13,63.89,68.26,,Total,41.97,40.48,43.78,53.83,,,,,,,,,,,,,,,
66,,Like-for-like percentage change,0.044547668813490926,0.03680830039525697,-0.07537688442211064,-0.18669886680289796,-0.1047729918509896,-0.058851150414775365,-0.06401992382068568,,,Like-for-like percentage change,0.03680830039525697,-0.07537688442211064,-0.18669886680289796,-0.1047729918509896,,,,,,,,,,,,,,,
68,,1. NLA Ã¢ÂÂ Net Lettable Area; GLA Ã¢ÂÂ Gross Lettable Area.,,,,,,,,,,1. NLA Ã¢ÂÂ Net Lettable Area; GLA Ã¢ÂÂ Gross Lettable Area.,,,,,,,,,,,,,,,,,,,
69,,2. Area-weighted intensity combination of Commercial Property assets excluding Logistics.,,,,,,,,,,2. Area-weighted intensity combination of Commercial Property assets excluding Logistics.,,,,,,,,,,,,,,,,,,,
