Unnamed: 0,H,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
17,,Logistics centres gas,0,0,0,-,-,-,-,Ã¢ÂÂ,,,,,,,,,,
18,,Town Centres gas,559,512.32,597,1268.69,1477,1487,1451,398,,,,,,,,,,
19,,Vehicle fleet fuel,39.74,31.59298,34.81764,52.09,86,88,84,86,,,,,,,,,,
20,,Refrigerant leaks1,1285.64,1786.90776,2533,2655.43,1149,3203,3224,3091,,,,,,,,,,
21,,Residential sites fuel & gas,15.94,12.857,104.47401,117.95,100,69,52,10,,,,,,,,,,
22,,Residential contractors fuel & gas2,N/A2,N/A2,17402.30147,15092.42,19498,18666,20278,29525,,,,,,,,,,
23,,Retirement Living fuel & gas3,6.47,684.64724,702,662.98,688,780,745,487,,,,,,,,,,
24,,Retirement Living (contractors) fuel & gas,,,,,,,393,360,,,,,,,,,,
25,,Land Lease Communities fuel & gas,7.35,38.17142,,,,,,,,,,,,,,,,
26,,Land Lease Communities (contractors) fuel & gas4,83.55,75.21,,,,,,,,,,,,,,,,
27,,Total Scope 1 emissions,3040.8700000000003,3901.81925,22401.593119999998,21028.38,25460,25453,27237,35037,,,,,,,,,,
29,,1. Excludes Refrigerant R-22 in line with NGERs reporting protocol.,,,,,,,,,,,,,,,,,,
30,,"2. The Scope 1 emissions generated by our Residential Subdivision Construction Principal Contractors from FY22 onwards, have been re-categorised as Scope 3 emissions due to third party advice regarding our reporting obligations under the National Greenhouse and Energy Reporting Act 2007. This also applies to the Scope 1 emissions generated by our LLC contractors.",,,,,,,,,,,,,,,,,,
31,,"3. As of 30 June 2022, Stockland divested its Retirement Living portfolio, with the exception of Affinity Village, WA.",,,,,,,,,,,,,,,,,,
32,,4. This includes emissions generated by Halcyon Constructions Queensland Pty Ltd only. All other contractors fall under Scope 3 emissions.,,,,,,,,,,,,,,,,,,
34,,Scope 2 emissions (tCO2-e),,,,,,,,,,,Scope 2 emissions (tCO2-e) prior to restatement,,,,,,,
36,,,FY23,FY22,FY21,FY20,FY19,FY18,FY17,FY16,,,,FY22,FY21,FY20,FY19,,,
37,,Location based emissions - by portfolio area,,,,,,,,,,,Location based emissions - by portfolio area,,,,,,,
38,,Corporate tenancies electricity1,875,808,992,1145,1409,1421,1418,1353,,,Corporate tenancies electricity1,727.76188,906.8013599999999,1114,1409,,,
39,,Workplace and Business Parks base building electricity1,9487,9323.151059999998,11576,13072,16513,17603,18350,19657,,,Workplace and Business Parks base building electricity,9323.151059999998,11576,13072,16513,,,
40,,Logistics centres electricity,252.59,273 3,407 3,"1,227 3","1,802 3",4254,4321,1291,,,Logistics centres electricity2,96,253.68343,1216,1771,,,
41,,Town Centres electricity,23226,"28,352 3","29,558 3","31,887 3","43,322 3",51032,54327,58839,,,Town Centres electricity,27327,26820,31214,43250,,,
42,,Residential sites electricity,701.89,826.14046,1197.00056,1316.27452,1532,1413,1413,1515,,,Residential sites electricity,826.14046,1197.00056,1316.27452,1532,,,
43,,Residential contractors electricity,0,0,101.88916,80.2742,35,84,147,299,,,Residential contractors electricity,,101.88916,80.2742,35,,,
44,,Retirement Living electricity2,71.18,5384.41153,5339.76168,5738,6035,6785,7874,6918,,,Retirement Living electricity,5384.41153,5339.76168,5738,6035,,,
45,,Retirement Living (contractors) electricity,0,0,0,0,0,-,8,8,,,Retirement Living (contractors) electricity,,0,0,-,,,
46,,Land Lease Communities electricity,1571.55,976.0319000000001,,,,,,,,,Land Lease Communities electricity,976.0319000000001,,,,,,
47,,Land Lease Communities contractors electricity,40.19,46.8224,,,,,,,,,Land Lease Communities contractors electricity,46.8224,,,,,,
